time,pitch_1 (°),roll_1 (°),range_1 (mm),pitch_2 (°),roll_2 (°),range_2 (mm)
2025/4/14 11:59:38,36.01,-12.54,12,75.25,-19.72,3
2025/4/14 11:59:41,35.91,-12.4,15,75.17,-19.32,3
2025/4/14 11:59:44,36.03,-12.27,9,75.21,-19.49,1
2025/4/14 11:59:47,36,-12.46,13,75.16,-19.64,4
2025/4/14 11:59:50,36.05,-12.46,12,75.16,-19.72,4
2025/4/14 11:59:53,36.13,-12.39,13,75.26,-19.58,7
2025/4/14 11:59:56,36.07,-12.49,12,75.21,-19.33,3
2025/4/14 11:59:59,36.02,-12.4,14,75.21,-19.38,4
2025/4/14 12:00:02,36.06,-12.43,14,75.29,-19.61,4
2025/4/14 12:00:05,36.13,-12.33,13,75.11,-19.46,4
2025/4/14 12:00:08,36.01,-12.67,13,75.27,-19.43,3
2025/4/14 12:00:11,36.07,-12.4,14,75.2,-19.24,4
2025/4/14 12:00:14,36.07,-12.3,14,75.17,-19.02,5
2025/4/14 12:00:17,35.99,-12.37,13,75.11,-19.09,4
2025/4/14 12:00:20,36.11,-12.27,13,75.1,-19.17,3
2025/4/14 12:00:23,36.03,-12.44,13,75.27,-18.98,4
2025/4/14 12:00:26,35.94,-12.46,12,75.16,-19.03,4
2025/4/14 12:00:29,35.96,-12.28,13,75.11,-19.39,4
2025/4/14 12:00:32,36.01,-12.36,12,75.16,-18.72,5
2025/4/14 12:00:35,36.12,-12.28,13,75.17,-18.97,5
2025/4/14 12:00:38,35.96,-12.63,14,75.15,-18.89,2
2025/4/14 12:00:41,36.16,-12.42,12,75.21,-18.82,5
2025/4/14 12:00:44,35.91,-12.41,11,75.1,-18.48,3
2025/4/14 12:00:47,36.21,-12.61,13,75.1,-18.77,5
2025/4/14 12:00:50,35.97,-12.24,14,75.2,-18.38,2
2025/4/14 12:00:53,36.17,-12.39,13,75.09,-18.52,5
2025/4/14 12:00:57,36.17,-12.49,13,75.2,-18.88,2
2025/4/14 12:01:00,36.08,-12.36,12,75.32,-18.88,4
2025/4/14 12:01:03,36.01,-12.34,14,75.16,-18.59,2
2025/4/14 12:01:06,35.95,-12.32,14,75.16,-18.68,4
2025/4/14 12:01:09,36.01,-12.33,14,75.27,-18.6,4
